nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.107635021209716797e+01,1.742649650573730469e+01,2.078974342346191406e+01,2.399287414550781250e+01,2.300929260253906250e+01,2.113522338867187500e+01,1.660369873046875000e+01,1.055315303802490234e+01,1.226733207702636719e+01,1.513374805450439453e+01,1.449951267242431641e+01,9.139581680297851562e+00,6.780987739562988281e+00,6.463024139404296875e+00,5.043378353118896484e+00,5.442423343658447266e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.408255577087402344e+00,1.702838516235351562e+01,1.912383651733398438e+01,1.491138267517089844e+01,1.309077262878417969e+01,1.171692657470703125e+01,7.635906696319580078e+00,3.299679517745971680e+00,4.158782005310058594e+00,3.314665555953979492e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.133971691131591797e+00,1.649753189086914062e+01,2.273016929626464844e+01,2.258040237426757812e+01,1.612189483642578125e+01,1.102178382873535156e+01,9.114015579223632812e+00,7.399902820587158203e+00,4.465120792388916016e+00,5.222260475158691406e+00,6.755108833312988281e+00,nan,nan,5.554107666015625000e+00,6.608004570007324219e+00,5.044301509857177734e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.848319530487060547e+00,1.769170761108398438e+01,2.542848777770996094e+01,2.661922836303710938e+01,2.222035408020019531e+01,1.411446666717529297e+01,1.136847114562988281e+01,1.075635147094726562e+01,1.248644351959228516e+01,1.118383312225341797e+01,9.444387435913085938e+00,9.417581558227539062e+00,8.366803169250488281e+00,5.853814125061035156e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.013136291503906250e+01,2.004302787780761719e+01,2.316213798522949219e+01,1.839131355285644531e+01,1.138390064239501953e+01,9.722384452819824219e+00,1.294115638732910156e+01,1.453840351104736328e+01,1.146042060852050781e+01,4.760974884033203125e+00,5.035274982452392578e+00,5.069762706756591797e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.911412239074707031e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.442425060272216797e+01,2.556440734863281250e+01,2.991653251647949219e+01,2.837537765502929688e+01,2.364037704467773438e+01,1.757508468627929688e+01,1.461937522888183594e+01,1.547621822357177734e+01,1.239534282684326172e+01,9.516785621643066406e+00,6.605634212493896484e+00,4.429582595825195312e+00,4.081029415130615234e+00,1.370838046073913574e+00,1.691062211990356445e+00,nan,nan,nan,1.205017447471618652e+00,nan,nan,nan,nan,nan,nan,2.206756114959716797e+00,3.390134572982788086e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.743350505828857422e+00,1.827570533752441406e+01,2.484524917602539062e+01,2.441917037963867188e+01,1.622430419921875000e+01,1.158905982971191406e+01,7.362946510314941406e+00,4.762544155120849609e+00,nan,nan,5.425943374633789062e+00,6.564309120178222656e+00,5.858568191528320312e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.028734397888183594e+01,2.061747550964355469e+01,2.566621780395507812e+01,2.536342620849609375e+01,2.156218719482421875e+01,1.640519142150878906e+01,1.152204704284667969e+01,6.888922691345214844e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.863014221191406250e+00,1.628434562683105469e+01,1.952582359313964844e+01,2.434228706359863281e+01,2.308368492126464844e+01,1.798742675781250000e+01,1.312414264678955078e+01,1.709116339683532715e+00,7.682665824890136719e+00,6.704219341278076172e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.231328868865966797e+01,2.063289070129394531e+01,2.399907112121582031e+01,2.319264793395996094e+01,1.946643066406250000e+01,1.715291213989257812e+01,1.590236377716064453e+01,1.335684108734130859e+01,9.925091743469238281e+00,7.153048038482666016e+00,4.631220817565917969e+00,nan,nan,nan,nan,3.094197988510131836e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
